label,accuracy,precision,recall,f1,roc_auc
Baseline (clean),0.9614017267648552,0.9736842105263158,0.8486238532110092,0.9068627450980392,0.9884849817770516
Baseline under attack,0.7785678009141697,0.5,0.0022935779816513763,0.0045662100456621,0.7457816418008703
Hardened (clean),0.9588623666835957,0.9708222811671088,0.8394495412844036,0.9003690036900369,0.9872177537597923
Hardened under attack,0.7790756729304216,1.0,0.0022935779816513763,0.004576659038901602,0.8481308760779667
