label,accuracy,precision,recall,f1,roc_auc
Baseline (clean),0.7811071609954292,0.7272727272727273,0.01834862385321101,0.035794183445190156,0.8382257012393999
Baseline under attack,0.739461655662773,0.4483221476510067,0.7660550458715596,0.5656223539373413,0.8146952069755891
Hardened (clean),0.8633824276282377,0.8300395256916996,0.481651376146789,0.6095791001451378,0.9164661843121062
Hardened under attack,0.47638395124428645,0.2873481057898499,0.9220183486238532,0.43814713896457763,0.8440284684943477
