label,accuracy,precision,recall,f1,roc_auc
Baseline (clean),0.966078697421981,0.96794208893485,0.9551020408163265,0.9614791987673343,0.9947135231021734
Baseline under attack,0.9289914066033469,0.909452736318408,0.9326530612244898,0.9209068010075567,0.9858925048492183
Hardened (clean),0.973767526006332,0.9812108559498957,0.9591836734693877,0.9700722394220846,0.9951764783898939
Hardened under attack,0.9606512890094979,0.9514661274014156,0.960204081632653,0.9558151345860844,0.9939521543792171
