label,accuracy,precision,recall,f1,roc_auc
Baseline (clean),0.6130015236160488,0.34851301115241634,0.8600917431192661,0.49603174603174605,0.8221152982997899
Baseline under attack,0.558151345860843,0.3227124183006536,0.9059633027522935,0.4759036144578313,0.8050174449571208
Hardened (clean),0.6190959878110716,0.3516068052930057,0.8532110091743119,0.4979919678714859,0.814051120008139
Hardened under attack,0.5931945149822245,0.33863837312113176,0.8784403669724771,0.48883216336949586,0.786737643404729
