label,accuracy,precision,recall,f1,roc_auc
Baseline (clean),0.7811071609954292,0.7272727272727273,0.01834862385321101,0.035794183445190156,0.8382257012393999
Baseline under attack,0.7399695276790249,0.4489247311827957,0.7660550458715596,0.5661016949152542,0.813920956091372
Hardened (clean),0.8857287963433215,0.8754448398576512,0.5642201834862385,0.6861924686192469,0.9414546640574037
Hardened under attack,0.3585576434738446,0.2486322188449848,0.9380733944954128,0.39308024987986545,0.848744292237443
