label,accuracy,precision,recall,f1,roc_auc
Baseline (clean),0.7313357034027425,0.4456140350877193,0.8738532110091743,0.5902401239349342,0.8763180966743868
Baseline under attack,0.6140172676485526,0.35638297872340424,0.9220183486238532,0.5140664961636828,0.8564247113951776
Hardened (clean),0.7272727272727273,0.4417531718569781,0.8784403669724771,0.5878741366078281,0.87665248328815
Hardened under attack,0.6058913153885221,0.35268630849220106,0.9334862385321101,0.5119496855345912,0.8556639257437298
