label,accuracy,precision,recall,f1,roc_auc
Baseline (clean),0.9565807327001357,0.9575569358178054,0.9438775510204082,0.9506680369989723,0.990121271904375
Baseline under attack,0.9466304839439168,0.9380081300813008,0.9418367346938775,0.939918533604888,0.9903318191614582
Hardened (clean),0.95838986883763,0.9615384615384616,0.9438775510204082,0.952626158599382,0.990987914255873
Hardened under attack,0.9574853007688828,0.9567010309278351,0.9469387755102041,0.9517948717948718,0.9916954027752449
