label,accuracy,precision,recall,f1,roc_auc
Baseline (clean),0.9317051108095884,0.9295336787564766,0.9153061224489796,0.9223650385604113,0.9786294534060578
Baseline under attack,0.8842152872003618,0.8507751937984496,0.8959183673469387,0.8727634194831014,0.9619357084832308
Hardened (clean),0.9285391225689733,0.9299163179916318,0.9071428571428571,0.9183884297520661,0.9772037003265969
Hardened under attack,0.8955223880597015,0.8809766022380467,0.8836734693877552,0.8823229750382068,0.9681012616256901
