label,accuracy,precision,recall,f1,roc_auc
Baseline (clean),0.9764812302125735,0.9793388429752066,0.9673469387755103,0.973305954825462,0.9962727333012816
Baseline under attack,0.9760289461781999,0.978328173374613,0.9673469387755103,0.9728065674704977,0.9962636151129826
Hardened (clean),0.9746720940750792,0.9782608695652174,0.9642857142857143,0.9712230215827338,0.9963212254845073
Hardened under attack,0.9647218453188603,0.9620901639344263,0.9581632653061225,0.9601226993865031,0.9954467083340239
