label,accuracy,precision,recall,f1,roc_auc
Baseline (clean),0.9687924016282226,0.9759665621734587,0.9530612244897959,0.9643779039752194,0.9889765248097614
Baseline under attack,0.9579375848032564,0.9634273772204807,0.9408163265306122,0.9519876097057305,0.9886540725144647
Hardened (clean),0.9710538218000905,0.974120082815735,0.960204081632653,0.9671120246659815,0.9883477842802434
Hardened under attack,0.9642695612844867,0.9658738366080661,0.9530612244897959,0.9594247560349255,0.9874210447785938
